tag,round_name,u0,xl,dvtshift,delta_wgaa,delta_tgaa,eot_0,loss,log_rmse_all,log_rmse_low,log_rmse_mid,rel_rmse_high,lin_rmse,max_rel_err_high,status
fit_c079,coarse,0.03,1.2e-08,0.12,0.0,0.0,1.05e-09,0.9724786551503773,0.8836165315463218,1.4017495109733134,0.7219426124801047,0.3554484944162222,2.328181216617059e-06,0.3726444921437595,ok
fit_l100,local,0.012,2e-08,0.0,0.0,0.0,9.024999999999999e-10,0.979867941674172,0.8618700914726115,1.3730061499032566,0.6815609553045491,0.47199140080624225,3.3178670462499164e-06,0.4961800009776397,ok
fit_c006,coarse,0.015,1.2e-08,0.08,0.0,0.0,8.500000000000001e-10,1.0003881427414978,0.9499632383164313,1.5104700357196659,0.7756412342023913,0.20169961770026637,1.7657305061250841e-06,0.2177566220454605,ok
fit_c071,coarse,0.02,1.2e-08,0.12,0.0,0.0,1.05e-09,1.0342475030610234,1.0099699319512798,1.5773793915754053,0.8523478782680896,0.09711028443897425,1.4056487645910814e-06,0.13050892837687925,ok
fit_l083,local,0.012,1.2e-08,-0.02,-2e-09,-1e-09,9.024999999999999e-10,1.0365792258021427,0.9397760861058249,1.5313625269412046,0.7221030997078745,0.38721255878527144,2.7659758536191377e-06,0.4159819624808707,ok
fit_l081,local,0.012,1.2e-08,-0.02,-2e-09,0.0,9.024999999999999e-10,1.076739936693029,0.9841217540195472,1.6035485957825486,0.758660475225344,0.37047273069392755,2.677884133675683e-06,0.3981528661456579,ok
fit_c042,coarse,0.01,1.2e-08,0.08,0.0,0.0,9.5e-10,1.0856680142740287,0.9656246431227554,1.4833370125056606,0.8173444900261317,0.48017348460509346,3.450482544806183e-06,0.49341681999579856,ok
fit_c055,coarse,0.025,1.2e-08,0.12,0.0,0.0,9.5e-10,1.1116694362180175,1.0741406141142675,1.6902752311018074,0.8949656096965253,0.15011528841499994,1.4153105001980587e-06,0.1699490394604867,ok
fit_c059,coarse,0.03,1.2e-08,0.12,0.0,0.0,9.5e-10,1.1131375128245136,1.0185973115805909,1.6113588096413012,0.8372633819769139,0.37816080497569043,2.4941970370549046e-06,0.40337125533829155,ok
fit_c022,coarse,0.01,1.2e-08,0.08,0.0,0.0,9.000000000000001e-10,1.1467055169119804,1.0281662223411399,1.5847249075613097,0.8687933025607927,0.4741571782833621,3.432661214422157e-06,0.48631149747106434,ok
fit_l114,local,0.012,2e-08,0.02,0.0,-1e-09,9.024999999999999e-10,1.1497950330294022,1.022456543022905,1.6054726565139705,0.8334092784135856,0.5093539600259895,3.6234663823710393e-06,0.5256539314506115,ok
