sweep_v,bl_v,q_v,qb_v
0.025,0.025,0.01247,0.7
0.024,0.024,0.01197,0.7
0.023,0.023,0.01148,0.7
0.022,0.022,0.01098,0.7
0.021,0.021,0.01049,0.7
0.02,0.02,0.009989,0.7
0.019,0.019,0.009493,0.7
0.018,0.018,0.008996,0.7
0.017,0.017,0.008499,0.7
0.016,0.016,0.008001,0.7
0.015,0.015,0.007503,0.7
0.014,0.014,0.007005,0.7
0.013,0.013,0.006507,0.7
0.012,0.012,0.006008,0.7
0.011,0.011,0.005509,0.7
0.01,0.01,0.00501,0.7
0.009,0.009,0.00451,0.7
0.008,0.008,0.00401,0.7
0.007,0.007,0.00351,0.7
0.006,0.006,0.00301,0.7
0.005,0.005,0.002509,0.7
0.004,0.004,0.002008,0.7
0.003,0.003,0.001506,0.7
0.002,0.002,0.001005,0.7
0.001,0.001,0.0005028,0.7
0.0,0.0,5.421e-07,0.7
