noise_v,q_v,qb_v,gq_v,gqb_v
0.392,0.1239,0.7,-0.2681,1.092
0.393,0.1239,0.7,-0.2691,1.093
0.394,0.1238,0.7,-0.2702,1.094
0.395,0.1238,0.7,-0.2712,1.095
0.396,0.1238,0.7,-0.2722,1.096
0.397,0.1237,0.7,-0.2733,1.097
0.398,0.1237,0.7,-0.2743,1.098
0.399,0.1237,0.7,-0.2753,1.099
0.4,0.1236,0.7,-0.2764,1.1
0.401,0.1236,0.7,-0.2774,1.101
0.402,0.1236,0.7,-0.2784,1.102
0.403,0.1235,0.7,-0.2795,1.103
0.404,0.1235,0.7,-0.2805,1.104
0.405,0.1235,0.7,-0.2815,1.105
0.406,0.1234,0.7,-0.2826,1.106
0.407,0.1234,0.7,-0.2836,1.107
0.408,0.1234,0.7,-0.2846,1.108
0.409,0.1233,0.7,-0.2857,1.109
0.41,0.1233,0.7,-0.2867,1.11
0.411,0.1233,0.7,-0.2877,1.111
0.412,0.1232,0.7,-0.2888,1.112
0.413,0.1232,0.7,-0.2898,1.113
0.414,0.1232,0.7,-0.2908,1.114
0.415,0.1231,0.7,-0.2919,1.115
0.416,0.1231,0.7,-0.2929,1.116
0.417,0.1231,0.7,-0.2939,1.117
0.418,0.123,0.7,-0.295,1.118
0.419,0.123,0.7,-0.296,1.119
0.42,0.123,0.7,-0.297,1.12
0.421,0.1229,0.7,-0.2981,1.121
0.422,0.1229,0.7,-0.2991,1.122
0.423,0.1229,0.7,-0.3001,1.123
0.424,0.1228,0.7,-0.3012,1.124
0.425,0.1228,0.7,-0.3022,1.125
0.426,0.1228,0.7,-0.3032,1.126
0.427,0.1227,0.7,-0.3043,1.127
0.428,0.1227,0.7,-0.3053,1.128
0.429,0.1227,0.7,-0.3063,1.129
0.43,0.1226,0.7,-0.3074,1.13
0.431,0.1226,0.7,-0.3084,1.131
0.432,0.1226,0.7,-0.3094,1.132
0.433,0.1225,0.7,-0.3105,1.133
0.434,0.1225,0.7,-0.3115,1.134
0.435,0.1225,0.7,-0.3125,1.135
0.436,0.1224,0.7,-0.3136,1.136
0.437,0.1224,0.7,-0.3146,1.137
0.438,0.1224,0.7,-0.3156,1.138
0.439,0.1223,0.7,-0.3167,1.139
0.44,0.1223,0.7,-0.3177,1.14
0.441,0.1223,0.7,-0.3187,1.141
0.442,0.1222,0.7,-0.3198,1.142
0.443,0.1222,0.7,-0.3208,1.143
0.444,0.1222,0.7,-0.3218,1.144
0.445,0.1221,0.7,-0.3229,1.145
0.446,0.1221,0.7,-0.3239,1.146
0.447,0.1221,0.7,-0.3249,1.147
0.448,0.122,0.7,-0.326,1.148
0.449,0.122,0.7,-0.327,1.149
0.45,0.122,0.7,-0.328,1.15
0.451,0.122,0.7,-0.329,1.151
0.452,0.1219,0.7,-0.3301,1.152
0.453,0.1219,0.7,-0.3311,1.153
0.454,0.1219,0.7,-0.3321,1.154
0.455,0.1218,0.7,-0.3332,1.155
0.456,0.1218,0.7,-0.3342,1.156
0.457,0.1218,0.7,-0.3352,1.157
0.458,0.1217,0.7,-0.3363,1.158
0.459,0.1217,0.7,-0.3373,1.159
0.46,0.1217,0.7,-0.3383,1.16
0.461,0.1216,0.7,-0.3394,1.161
0.462,0.1216,0.7,-0.3404,1.162
0.463,0.1216,0.7,-0.3414,1.163
0.464,0.1216,0.7,-0.3424,1.164
0.465,0.1215,0.7,-0.3435,1.165
0.466,0.1215,0.7,-0.3445,1.166
0.467,0.1215,0.7,-0.3455,1.167
0.468,0.1214,0.7,-0.3466,1.168
0.469,0.1214,0.7,-0.3476,1.169
0.47,0.1214,0.7,-0.3486,1.17
0.471,0.1213,0.7,-0.3497,1.171
0.472,0.1213,0.7,-0.3507,1.172
0.473,0.1213,0.7,-0.3517,1.173
0.474,0.1213,0.7,-0.3527,1.174
0.475,0.1212,0.7,-0.3538,1.175
0.476,0.1212,0.7,-0.3548,1.176
0.477,0.1212,0.7,-0.3558,1.177
0.478,0.1211,0.7,-0.3569,1.178
0.479,0.1211,0.7,-0.3579,1.179
0.48,0.1211,0.7,-0.3589,1.18
0.481,0.1211,0.7,-0.3599,1.181
0.482,0.121,0.7,-0.361,1.182
0.483,0.121,0.7,-0.362,1.183
0.484,0.121,0.7,-0.363,1.184
0.485,0.1209,0.7,-0.3641,1.185
0.486,0.1209,0.7,-0.3651,1.186
0.487,0.1209,0.7,-0.3661,1.187
0.488,0.1209,0.7,-0.3671,1.188
0.489,0.1208,0.7,-0.3682,1.189
0.49,0.1208,0.7,-0.3692,1.19
0.491,0.1208,0.7,-0.3702,1.191
0.492,0.1207,0.7,-0.3713,1.192
0.493,0.1207,0.7,-0.3723,1.193
0.494,0.1207,0.7,-0.3733,1.194
0.495,0.1207,0.7,-0.3743,1.195
0.496,0.1206,0.7,-0.3754,1.196
0.497,0.1206,0.7,-0.3764,1.197
0.498,0.1206,0.7,-0.3774,1.198
0.499,0.1205,0.7,-0.3785,1.199
0.5,0.1205,0.7,-0.3795,1.2
