sweep_v,bl_v,q_v,qb_v
0.071,0.071,0.03466,0.7
0.07,0.07,0.03419,0.7
0.069,0.069,0.03371,0.7
0.068,0.068,0.03324,0.7
0.067,0.067,0.03276,0.7
0.066,0.066,0.03229,0.7
0.065,0.065,0.03181,0.7
0.064,0.064,0.03133,0.7
0.063,0.063,0.03085,0.7
0.062,0.062,0.03038,0.7
0.061,0.061,0.0299,0.7
0.06,0.06,0.02942,0.7
0.059,0.059,0.02894,0.7
0.058,0.058,0.02846,0.7
0.057,0.057,0.02798,0.7
0.056,0.056,0.0275,0.7
0.055,0.055,0.02702,0.7
0.054,0.054,0.02653,0.7
0.053,0.053,0.02605,0.7
0.052,0.052,0.02557,0.7
0.051,0.051,0.02509,0.7
0.05,0.05,0.0246,0.7
0.049,0.049,0.02412,0.7
0.048,0.048,0.02364,0.7
0.047,0.047,0.02315,0.7
0.046,0.046,0.02267,0.7
0.045,0.045,0.02218,0.7
0.044,0.044,0.0217,0.7
0.043,0.043,0.02121,0.7
0.042,0.042,0.02072,0.7
0.041,0.041,0.02024,0.7
0.04,0.04,0.01975,0.7
0.039,0.039,0.01926,0.7
0.038,0.038,0.01878,0.7
0.037,0.037,0.01829,0.7
0.036,0.036,0.0178,0.7
0.035,0.035,0.01731,0.7
0.034,0.034,0.01682,0.7
0.033,0.033,0.01633,0.7
0.032,0.032,0.01584,0.7
0.031,0.031,0.01535,0.7
0.03,0.03,0.01486,0.7
0.029,0.029,0.01437,0.7
0.028,0.028,0.01388,0.7
0.027,0.027,0.01339,0.7
0.026,0.026,0.0129,0.7
0.025,0.025,0.01241,0.7
0.024,0.024,0.01191,0.7
0.023,0.023,0.01142,0.7
0.022,0.022,0.01093,0.7
0.021,0.021,0.01043,0.7
0.02,0.02,0.009941,0.7
0.019,0.019,0.009447,0.7
0.018,0.018,0.008952,0.7
0.017,0.017,0.008458,0.7
0.016,0.016,0.007963,0.7
0.015,0.015,0.007467,0.7
0.014,0.014,0.006972,0.7
0.013,0.013,0.006476,0.7
0.012,0.012,0.005979,0.7
0.011,0.011,0.005483,0.7
0.01,0.01,0.004986,0.7
0.009,0.009,0.004489,0.7
0.008,0.008,0.003991,0.7
0.007,0.007,0.003493,0.7
0.006,0.006,0.002995,0.7
0.005,0.005,0.002497,0.7
0.004,0.004,0.001998,0.7
0.003,0.003,0.001499,0.7
0.002,0.002,0.0009999,0.7
0.001,0.001,0.0005004,0.7
0.0,0.0,5.064e-07,0.7
