tag,round_name,u0,xl,dvtshift,delta_wgaa,delta_tgaa,eot_0,loss,log_rmse_all,log_rmse_low,log_rmse_mid,rel_rmse_high,lin_rmse,max_rel_err_high,status
fit_l352,local,0.02,2e-08,0.0,0.0,0.0,9.975000000000001e-10,0.5793697985310123,0.5214615851636584,1.0330550303304062,0.44860214470499526,0.23163285346941603,3.1225679701448583e-06,0.2939559415302203,ok
fit_l216,local,0.016,1.6e-08,0.02,0.0,0.0,9.5e-10,0.6048897411932729,0.5311246167610346,1.0275554616037026,0.4707716824442196,0.29506049772895293,3.900408919092743e-06,0.3560209117573019,ok
fit_c054,coarse,0.025,1.2e-08,0.08,0.0,0.0,9.5e-10,0.6146556732179695,0.5585219361610174,1.086084310772222,0.5112962677088246,0.2245349482278085,2.457088493245485e-06,0.3135115115287552,ok
fit_c041,coarse,0.01,1.2e-08,0.04,0.0,0.0,9.5e-10,0.6274326873068197,0.5058180111987336,0.8798688372299981,0.4609215805921607,0.48645870443234446,6.215188024201088e-06,0.537103337981052,ok
fit_c050,coarse,0.02,1.2e-08,0.08,0.0,0.0,9.5e-10,0.6275979417113993,0.6118306323275453,1.1827843600455474,0.575603500863555,0.06306923753541588,1.0438638951619598e-06,0.0972407682348173,ok
fit_c058,coarse,0.03,1.2e-08,0.08,0.0,0.0,9.5e-10,0.6401460103835703,0.5243001411533602,1.0071900800240987,0.4670684211588185,0.4633834769208405,5.313783709329285e-06,0.5756610914554,ok
fit_l261,local,0.024,1.2e-08,-0.02,-2e-09,0.0,9.5e-10,0.654464336455891,0.6153458591131976,1.247214750053731,0.5148776178860611,0.15647390937077338,1.6179142090742848e-06,0.2765271139632268,ok
fit_c066,coarse,0.015,1.2e-08,0.08,0.0,0.0,1.05e-09,0.6647245628281784,0.591679559570256,1.1056990235552913,0.569487752069987,0.2921800130316895,3.848870240379822e-06,0.3396823175937095,ok
fit_c021,coarse,0.01,1.2e-08,0.04,0.0,0.0,9.000000000000001e-10,0.6691601267750998,0.5492481540395947,0.9773289840818191,0.5024110487823251,0.4796478909420206,6.1393746451216545e-06,0.5312113950933196,ok
fit_c034,coarse,0.025,1.2e-08,0.08,0.0,0.0,9.000000000000001e-10,0.6715218180501697,0.6116313709231818,1.1874749249100625,0.562387230760848,0.23956178850795215,2.6391172707365477e-06,0.3272382291862465,ok
fit_c030,coarse,0.02,1.2e-08,0.08,0.0,0.0,9.000000000000001e-10,0.6797013163565868,0.6651418535054514,1.284164498327657,0.6276586020084731,0.05823785140454175,9.91006890406905e-07,0.08572372209846081,ok
fit_l225,local,0.02,1.2e-08,-0.02,-2e-09,0.0,9.5e-10,0.6823038896673035,0.6589097962430827,1.326171505995429,0.5645021505608765,0.0935763736968833,1.3981853995764465e-06,0.1434153754475116,ok
fit_l316,local,0.016,2e-08,0.0,0.0,0.0,9.975000000000001e-10,0.6877390418026567,0.5922765988326805,1.1297794602400488,0.5245553801710523,0.38184977187990465,4.946849547338277e-06,0.4348658609689472,ok
fit_c038,coarse,0.03,1.2e-08,0.08,0.0,0.0,9.000000000000001e-10,0.696852110531586,0.576364497528379,1.1085345887128442,0.5164487570895566,0.48195045201282805,5.533419686136171e-06,0.5921647081795745,ok
fit_l102,local,0.016,2e-08,0.0,0.0,-1e-09,9.024999999999999e-10,0.7045753601799446,0.609297359318289,1.165815224964352,0.5389425886999281,0.3811120034466225,4.951834217986339e-06,0.43833402829960166,ok
fit_c001,coarse,0.01,1.2e-08,0.04,0.0,0.0,8.500000000000001e-10,0.712199418651678,0.5940933491243684,1.0751648290944191,0.5455165800888376,0.47242427810923837,6.059266779418915e-06,0.5250489157799922,ok
fit_l366,local,0.02,2e-08,0.02,0.0,-1e-09,9.975000000000001e-10,0.7177718648660187,0.6499527014719699,1.2593561957928079,0.5905513402488365,0.2712766535761954,3.60971407264007e-06,0.3240666967259932,ok
fit_l184,local,0.024,2e-08,0.02,0.0,0.0,9.024999999999999e-10,0.7267091220851067,0.7039754932767391,1.3887393930085155,0.6336827727016534,0.09093451523347032,1.4359008562450403e-06,0.14109413621555983,ok
fit_c014,coarse,0.025,1.2e-08,0.08,0.0,0.0,8.500000000000001e-10,0.729201676323479,0.665274868166294,1.2890891692946476,0.6147062922499413,0.2557072326287399,2.8347015154068573e-06,0.34255733351110657,ok
fit_c010,coarse,0.02,1.2e-08,0.08,0.0,0.0,8.500000000000001e-10,0.7329541275605496,0.7189568134325637,1.3857652235249105,0.680823394489285,0.055989256511943565,9.59994802017606e-07,0.07488759554462877,ok
fit_c018,coarse,0.03,1.2e-08,0.08,0.0,0.0,8.500000000000001e-10,0.7546249497221806,0.629129282750634,1.2101373381025677,0.5672693354627545,0.5019826678861867,5.769715189348649e-06,0.6110688002133278,ok
fit_c046,coarse,0.015,1.2e-08,0.08,0.0,0.0,9.5e-10,0.7633050130074074,0.6945752340881293,1.3074397502511994,0.6701666512984401,0.27491911567711247,3.6631060668920162e-06,0.32315205783258144,ok
fit_l275,local,0.024,1.2e-08,0.0,-2e-09,-1e-09,9.5e-10,0.7750016622529856,0.7518476286311256,1.4941605354400291,0.6657720316730499,0.09261613448744001,1.0313796147916e-06,0.16423139762314976,ok
fit_l375,local,0.024,1.6e-08,-0.02,-2e-09,-1e-09,9.975000000000001e-10,0.7835751786125904,0.7587052266198344,1.511114822015902,0.6676736519191836,0.099479807971024,1.5344330289287687e-06,0.15083932910016917,ok
fit_l189,local,0.016,1.2e-08,-0.02,-2e-09,0.0,9.5e-10,0.7838927303845367,0.7205071081418243,1.4228280519871284,0.6334224055719367,0.25354248897084947,3.414228865648462e-06,0.3147357548867824,ok
fit_l148,local,0.02,2e-08,0.02,0.0,0.0,9.024999999999999e-10,0.8125086589471672,0.7551293019707972,1.4677676782962679,0.692527923973985,0.22951742790547977,3.131593251932842e-06,0.28427204546642026,ok
fit_c026,coarse,0.015,1.2e-08,0.08,0.0,0.0,9.000000000000001e-10,0.813484417138028,0.7470983574931922,1.4088576189588917,0.722302536121952,0.26554423857934295,3.563672807177359e-06,0.31429279157384554,ok
fit_c075,coarse,0.025,1.2e-08,0.12,0.0,0.0,1.05e-09,0.8139359862043118,0.7870995910400049,1.480674114037914,0.7783504477839456,0.10734558065722752,1.4214962543695622e-06,0.14406204470092987,ok
fit_c079,coarse,0.03,1.2e-08,0.12,0.0,0.0,1.05e-09,0.8250438481259549,0.7435971705358925,1.4017495109733134,0.7219426124801047,0.32578671036024953,3.87180031776801e-06,0.3726444921437595,ok
fit_l330,local,0.016,2e-08,0.02,0.0,-1e-09,9.975000000000001e-10,0.8253719544048179,0.7215305372242684,1.3561345568192769,0.6689369041803003,0.4153656687221981,5.352371370614759e-06,0.4592533573807946,ok
fit_l239,local,0.02,1.2e-08,0.0,-2e-09,-1e-09,9.5e-10,0.830818505252019,0.7989386015741896,1.573117606662006,0.7211192004941507,0.1275196147113173,1.906208151364769e-06,0.18228972431868148,ok
fit_l157,local,0.024,1.6e-08,-0.02,-2e-09,0.0,9.024999999999999e-10,0.8538668312326169,0.8370869511156781,1.6602549317519046,0.7454428239674983,0.06711952046775485,1.0939589443374507e-06,0.0972407682348173,ok
fit_c062,coarse,0.01,1.2e-08,0.08,0.0,0.0,1.05e-09,0.8626749759891776,0.7309833197984138,1.2815473062239622,0.7185968033991718,0.5267666247630551,6.68889732580207e-06,0.5596944669408285,ok
fit_c006,coarse,0.015,1.2e-08,0.08,0.0,0.0,8.500000000000001e-10,0.8641539880272416,0.8002469179696738,1.5104700357196659,0.7756412342023913,0.255628280230271,3.459669912930407e-06,0.3045475986892362,ok
fit_l339,local,0.02,1.6e-08,-0.02,-2e-09,-1e-09,9.975000000000001e-10,0.8688796539449681,0.8093833047314265,1.5900971794696823,0.7257180172576366,0.23798539685416653,3.2271051281396986e-06,0.29219523315498397,ok
fit_c071,coarse,0.02,1.2e-08,0.12,0.0,0.0,1.05e-09,0.8771363574328079,0.847419105442404,1.5773793915754053,0.8523478782680896,0.11886900796161612,1.8691144717490076e-06,0.14624207518773444,ok
fit_c055,coarse,0.025,1.2e-08,0.12,0.0,0.0,9.5e-10,0.9339654512603104,0.901002993514268,1.6902752311018074,0.8949656096965253,0.1318498309841693,1.7461906813569546e-06,0.1699490394604867,ok
fit_c059,coarse,0.03,1.2e-08,0.12,0.0,0.0,9.5e-10,0.9458777588171998,0.8568866382348396,1.6113588096413012,0.8372633819769139,0.3559644823294412,4.267670983572749e-06,0.40337125533829155,ok
fit_c042,coarse,0.01,1.2e-08,0.08,0.0,0.0,9.5e-10,0.9581376132134818,0.8293436425942573,1.4833370125056606,0.8173444900261317,0.515175882476898,6.5609631702630575e-06,0.5486203841174087,ok
fit_l393,local,0.024,1.2e-08,0.02,-2e-09,0.0,9.975000000000001e-10,0.9595851526434455,0.9443513288412129,1.8331521025007218,0.881904722439593,0.06093529520893054,9.878034060446098e-07,0.10244478027665266,ok
fit_l271,local,0.024,2e-08,-0.02,-2e-09,-1e-09,9.5e-10,0.9855607355642907,0.9382429216221809,1.8338498592141586,0.8583120230131254,0.18927125576843892,2.6725955528421384e-06,0.24031791831340124,ok
fit_c051,coarse,0.02,1.2e-08,0.12,0.0,0.0,9.5e-10,0.9858847523737453,0.9611332010292288,1.7869555583860066,0.9696814112706598,0.09900620537806577,1.7301739496799265e-06,0.1289170005652338,ok
fit_c035,coarse,0.025,1.2e-08,0.12,0.0,0.0,9.000000000000001e-10,0.9950542522645796,0.9586758036596111,1.795444565394381,0.9548239945303809,0.14551379441987375,1.924673470622263e-06,0.18434974117498695,ok
fit_l093,local,0.016,1.2e-08,0.0,-2e-09,0.0,9.024999999999999e-10,0.9974051525471584,0.93177793071139,1.8018738235565448,0.8652182866938973,0.26250888734307376,3.5504502574182166e-06,0.31429279157384554,ok
fit_c022,coarse,0.01,1.2e-08,0.08,0.0,0.0,9.000000000000001e-10,1.0071745146789426,0.8799539903696078,1.5847249075613097,0.8687933025607927,0.5088820972373398,6.491972617224743e-06,0.5428618610492304,ok
